event_id,event_type,user_login,event_content,created_at
56661401,change_title,david-he91,修改了标题,2021-10-06T15:16:49+08:00
56661158,change_title,david-he91,修改了标题,2021-10-06T15:11:44+08:00
56660377,change_title,david-he91,修改了标题,2021-10-06T14:59:58+08:00
55627051,change_description,shen_jingxing,修改了描述,2021-09-22T16:10:18+08:00
55600989,upload_attach_file,lingtianxia,上传了附件IsInf算子交付件.tar,2021-09-22T14:04:55+08:00
55600981,delete_attach_file,lingtianxia,删除了附件IsInf算子交付件.tar,2021-09-22T14:04:49+08:00
55579444,upload_attach_file,lingtianxia,上传了附件IsInf算子交付件.tar,2021-09-22T11:03:42+08:00
55579416,delete_attach_file,lingtianxia,删除了附件IsInf算子交付件.tar,2021-09-22T11:03:31+08:00
54806616,upload_attach_file,lingtianxia,上传了附件IsInf算子交付件.tar,2021-09-13T20:49:07+08:00
54806608,delete_attach_file,lingtianxia,删除了附件IsInf算子交付件.tar,2021-09-13T20:49:01+08:00
54804971,upload_attach_file,lingtianxia,上传了附件IsInf算子交付件.tar,2021-09-13T20:23:39+08:00
54804957,delete_attach_file,lingtianxia,删除了附件IsInf算子交付件.tar,2021-09-13T20:23:32+08:00
54637748,change_description,shen_jingxing,修改了描述,2021-09-11T14:41:24+08:00
54576400,upload_attach_file,lingtianxia,上传了附件IsInf算子交付件.tar,2021-09-10T16:19:14+08:00
54576361,delete_attach_file,lingtianxia,删除了附件IsInf算子交付件.tar,2021-09-10T16:19:04+08:00
54371262,add_label,david-he91,"添加了      
        &nbsp;
        mindspore-assistant
      
标签",2021-09-08T20:33:30+08:00
53234948,upload_attach_file,lingtianxia,上传了附件IsInf算子交付件.tar,2021-08-28T16:42:02+08:00
52482864,link_pull_request,lingtianxia,关联了MindSpore/mindspore Pull Request !22149,2021-08-21T09:07:14+08:00
52249024,link_pull_request,lingtianxia,关联了MindSpore/mindspore Pull Request !22026,2021-08-19T09:45:23+08:00
48528223,assign_collaborator,lingtianxia,添加协作者Doit,2021-07-12T16:29:47+08:00
47187443,setting_project,david-he91,将关联仓库设置为MindSpore/mindspore,2021-06-28T16:19:51+08:00
46073379,change_assignee,david-he91,将负责人从 用户5656006 修改为孟权令,2021-06-17T09:57:05+08:00
45883988,change_issue_state,david-he91,将任务状态从 ACCEPTED 修改为WIP,2021-06-15T14:52:43+08:00
45883905,change_issue_state,david-he91,将任务状态从 TODO 修改为ACCEPTED,2021-06-15T14:52:12+08:00
45883340,change_assignee,david-he91,将负责人从 liuxiao93 修改为用户5656006,2021-06-15T14:49:36+08:00
44380703,change_issue_type,david-he91,将任务类型从 Requirement 修改为RFC,2021-05-27T20:48:23+08:00
44377558,assign_collaborator,david-he91,添加协作者hedongdong,2021-05-27T20:07:10+08:00
44377557,add_label,david-he91,"添加了      
        &nbsp;
        comp/operator
      
标签",2021-05-27T20:07:10+08:00
44377556,setting_plan_started_at,david-he91,将计划开始日期设置为2021-05-27,2021-05-27T20:07:10+08:00
