user_login,user_score
Carry955,0.0
EJaven,0.2674600944976154
HW_KK,0.2169048395227213
HidyLi,8.655413207056133
HilbertDavid,0.2169048395227213
HulkTang,1.037269533239216
JT0623,1.18263500692345
JeffDing890430,1.037269533239216
JohanOu,0.25117467212199257
LiannaiWork,0.0
Lisenning,0.25117467212199257
M20211031,0.2169048395227213
MDS_ZHR,0.5156350659796634
Maigee,0.0
Margaret_wangrui,1.7352387161817704
Programmer-GYL,0.25117467212199257
Shawny233,3.374269115766733
Somnus2020,0.2169048395227213
Sun_New_Rain,0.25117467212199257
Super_Wzb,0.0
VectorSL,1.3014290371363277
WL960305,0.518634766619608
YamanAfadar,0.25117467212199257
YeFeng_24,2.7595234176458665
ZhengBina,0.0
abood_2a6f,0.25117467212199257
abracadabra233,0.25117467212199257
aishuaiyao,0.25117467212199257
alashkari,0.518634766619608
anancds,0.4338096790454426
andy_wangrui,12.79168702052122
anyrenwei,0.0
anzhengqi,2.819762913795376
ardcy,0.0
artlesbol,0.0
ascendzyj,0.25117467212199257
askmiao,0.2169048395227213
bairongz,0.2169048395227213
bcc2974874275,0.25117467212199257
bingyaweng,1.2541743727619372
blycf,0.25117467212199257
bubb1e,0.0
c_34,5.94015854676073
caicai-0505,1.0046986884879703
caojian05,0.2169048395227213
caoruyue1,5.340698448184128
cathwong,1.037269533239216
ccfendouing,0.0
cdemo123,0.0
changzherui,2.169048395227213
chaoshijiecy,0.0
chauneahhin,0.0
chen-jun0211,0.0
chen_si_jie,11.953032431970152
chen_tanjie,10.691284642407883
chen_ying113,0.518634766619608
chenfei52,4.250873782161433
cheng_xiaoli,24.048194021653746
chengxb7532,0.8676193580908852
chenlei_autodiff,1.539618877483201
chenmai1102,0.518634766619608
chenping38,0.25117467212199257
chenweitao_295,0.4338096790454426
chenyang_Marvin,0.25117467212199257
chenyijie6,0.0
chenzhuo42,0.6507145185681639
chopin_syp,0.2169048395227213
chou-shun,0.25117467212199257
chu-jibiao,9.355585772672285
chujinjin,3.9042871114089817
cjh9368,0.4338096790454426
ck00388204,0.25117467212199257
ckey_dou,0.9687298680406733
cl_user,0.25117467212199257
clement_li,1.0029997006399447
cloud-dingyong,0.25117467212199257
cmy_melody,0.2169048395227213
cononlly,0.518634766619608
cooper44,10.978428134977174
cqu_yangxingyu,0.518634766619608
cristoval,0.6507145185681639
cuihulan,0.25117467212199257
cuttlefish1002,0.25117467212199257
cyh_ustc,0.25117467212199257
cyx2020,0.25117467212199257
czr9775,0.25117467212199257
daheyinyin,0.25117467212199257
dandelight,0.25117467212199257
dash0225,2.169048395227213
david-he91,112.55606756527602
dayschan,4.9854135654724026
dcomcomnj_admin,0.2169048395227213
detectiver,0.0
devilmaycry812839668,0.5023493442439851
ding_fei_fei,0.9687298680406733
dinglinhe123,2.7252535850465955
dohappy_708,0.25117467212199257
donghufeng,0.25117467212199257
dont-scald-your-head,0.25117467212199257
dphLaNoyee,0.25117467212199257
du-minjie,0.0
dxtcoder,0.0
eason-hw,0.25117467212199257
echo_hua,2.930159622009538
echos319,0.0
ehaleva,0.0
erpim,0.0
ether1202,0.0
evocrow,0.2169048395227213
ezphlow,0.2169048395227213
fan-jibin,1.0845241976136064
fan-weishun,0.25117467212199257
fanax,0.26446039385767073
fancyshun,0.25117467212199257
fangwenyi,63.12410681022746
fangzehua,0.4338096790454426
fateld,0.0
felixcplau,0.25117467212199257
feng_linfei,2.1041102105897327
fenglovebei,0.25117467212199257
findexplore,0.0
fromvoid,0.25117467212199257
fuguidan,0.7698094387416006
ganqj,0.2169048395227213
gaocongli_hw,0.5289207877153415
gaojing22,0.518634766619608
gaoxiong1,0.0
gaoyong10,0.2169048395227213
gegu6585,0.0
gemini524,2.5851745540095656
gengdongjie,2.814064402476046
ginfung,0.9181746130657793
gismovie,1.9521435557044917
