user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue
isaac17555,0,0,0,0,0
ivss,0,6,11,0,0
jack_leekiller,2,4,0,1,3
jakcmanftr,0,0,0,0,0
jefferyeven,1,0,0,0,0
jerry0710,0,0,0,0,0
jessonguo,1,2,0,0,0
jhan_jhan,0,4,0,0,0
jiabei0209,1,0,0,0,0
jiang_botian,1,0,0,0,0
jianghui58,0,4,2,0,0
jiangshen95,1,12,0,0,0
jiangtaoo2333,1,12,0,0,0
jiangzg001,0,24,8,0,0
jiaoy1224,1,4,0,0,1
jiaweizhuang,1,14,0,0,0
jihongtao,1,0,0,1,0
jjfeing,0,52,19,1,0
joinville,2,10,0,0,0
jojobugfree,0,20,6,0,0
jonyguo,1,82,17,2,2
joylvliang,0,6,1,0,0
jpc_chenjianping,1,0,0,1,0
jxlang910,0,4,0,0,0
kang-ning,1,0,0,0,0
kangkangyds,0,2,0,0,0
ketejun,1,0,0,0,0
kikian,1,2,0,0,0
kimxiaogen,2,4,0,0,0
kingxian,1,32,8,1,0
kinokoteikoku,0,2,0,0,0
kisnwang,4,2,3,3,2
laiyongqiang,2,12,6,2,1
lanzhineng,0,18,2,0,0
larrygld,0,0,0,0,0
leidong999,1,0,1,1,0
leiwei2,0,2,0,0,0
leonwanghui,2,2,1,1,1
li-qiyao,0,0,0,0,0
li-ruoxuan5235,0,0,0,0,0
li_qi_liang,0,2,2,1,0
liang_xiubo,0,0,0,0,0
liangchenghui,1,184,33,3,6
liangjiaxi2019,1,0,0,0,0
liangxhao,0,18,18,0,4
liangyongxiong1024,5,14,3,4,5
liangzelang,1,6,6,0,1
liangzhibo,0,36,3,0,2
lianliguang,1,28,5,1,0
lichen666,0,2,4,0,0
lihuinan_12,2,0,0,0,0
lijiaqi0612,0,2,0,0,0
limingqi107,0,18,4,0,0
ling_qiao_min,1,8,2,0,1
lingtianxia,0,0,9,0,5
lingyunli63,1,0,0,0,0
linqingke,0,28,7,0,5
liscar,1,0,0,0,0
liu-xuu,3,0,0,1,1
