login,user_score
EJaven,0.507438427626236
Gogery,1.2155489243527333
HulkTang,0.16127208252351727
HypoZ,0.1691461425420787
JT0623,0.944549899631359
Margaret_wangrui,6.446740665976401
Shawn_1216,0.331140403388745
SichongHao,0.44243583574469914
Super_Wzb,3.784994657262503
YeFeng_24,1.7442260193850803
a1085728420,0.06164183302942641
artlesbol,0.18492549908827924
barry_cloud,0.675506554469912
bingyaweng,0.46948124767064925
camilaferc,0.3355666764939178
cathwong,0.6223584106796364
cdemo123,0.3400296874262154
chenfei52,1.2999499958873115
chenx2ovo,0.8068153316519003
cononlly,1.053382663769606
cyan2021,0.18492549908827924
cyx2020,0.12328366605885283
david-he91,0.6023553312192458
dayschan,2.319845776964698
ding_fei_fei,0.08063604126175863
dinglinhe123,2.3986327661440088
doitH,1.0479111615002488
donghufeng,0.40783941464122286
douzir,0.8122868339212574
echos319,0.09097211737581061
fangzehua,0.08063604126175863
findexplore,2.249204015786744
ganqj,0.2522441998993279
gaopeifeng,1.232836660588528
gegu6585,0.09097211737581061
ginfung,0.36440558847768356
gongdaguo,0.24358606778104763
greatpanc,1.981428247142672
guan_wen_cong,0.29242980860093154
hangangqiang,1.0763139020112187
harshvardhangupta,2.554431866458311
hfarahat,1.5097164414592796
huang_gang_hong,0.4914073183874139
huangbingjian,0.6923951632235928
huangxinjing,1.0523823729249482
huaweib,0.08063604126175863
huchunmei,0.9012861782974699
hwhewei,1.659670283462083
jhan_jhan,1.4078598924858985
jiahongqian,0.09097211737581061
jiangzg001,0.14621490430046574
jiaoy1224,6.9821488258249
jinghongzhang,0.1881539399522658
jjfeing,0.6074870495806837
jobyuan00,0.9246274954413959
jpc_chenjianping,0.24656733211770565
kman066,0.31915216968584637
kzx2020,0.14621490430046574
l619,0.26845334119513425
laiyongqiang,0.7886334173564956
larrygld,2.783938660789042
li_qi_liang,0.7445926627682938
liangchenghui,0.12328366605885283
liangxhao,0.06164183302942641
liangyongxiong1024,0.6312256178330155
liangzhibo,0.6457486146406483
lianliguang,3.8793696002999627
lijiaqi0612,0.06164183302942641
limingqi107,1.3134987944207688
ling_qiao_min,4.823004057932803
lingshui320,2.476616325715771
lingtianxia,2.297573782209212
lingyunli63,2.020827063815454
lishixing3,0.16127208252351727
liu-xuu,0.5737707054971698
liu_luobin,0.08063604126175863
liubuyu,5.262485568598355
liuchongming74,0.09097211737581061
liuyang_655,0.40783941464122286
lixiaohui33,0.4976058756601106
lixintao2,0.11071755757011989
liyong126,1.345498589641635
lizhenglong1992,0.33731303911037536
looop5,0.8847050993435425
luoyang42,0.17554518864684995
luxuff,0.724206885813259
luyihua,1.2798778448372081
lvchangquan,0.3375394494935162
lvyufeng,0.152613950405237
lzkcode,0.12328366605885283
maning202007,3.8602303504110433
mengyuanli,0.24656733211770565
mr-melos,0.6379288690297776
ms_yan,2.1054981145679705
nicholas_yhr,0.18194423475162122
oacjiewen,0.1886435629391568
parastooashtari,0.08457307127103934
probiotics_53,1.8719342091733782
qingfengli,0.44138353077849285
rainfor,0.33731303911037536
ren-meixiang,4.83216014151241
sabrinasun_59ee,1.0982919868495322
sawyer_zheng,0.30820916514713204
shenwei41,0.7303523431791797
shicaiwei123,0.06164183302942641
sun-shengjie,2.2745614187788545
sunsuodong,0.3375394494935162
tacyi139,0.582901125254299
tang-hongyan,1.3422667059756717
taox_p,1.8637963573094811
test-bot,0.42286535635519673
ttudu,2.898789195386004
uccInf,1.1095529945296752
uestc_dengjian_0,3.7175041899979213
wang-yujie2,0.7771377988008097
wang_shaocong,0.30820916514713204
wangnan39,0.603100989843554
wangshuide2020,0.22980872959772308
wangsong95,0.7747595398795875
wangyanling10,0.9008846153850726
wangziquan,0.9285906180211589
wanyiming,0.06164183302942641
wei_JJJun,0.09097211737581061
windaway,3.61774428054536
xiaoda_zh,0.6053427405090209
xiefangqi,0.5192807541631559
xu_anyue,1.417762159676807
xuan-zhang0509,3.8618666188968804
xutianchun,0.08063604126175863
y-y-w,0.9562948373491789
yanglf1121,0.152613950405237
yangruoqi713,0.8151790031890696
yangyueren,0.5095491710434827
yao_yf,0.06164183302942641
yeyunpeng2020,3.7875184942539346
yyuse,0.22212771418649851
zetongzhao,0.8890140670109441
zeyuli0123,0.4936521291685119
zh_qh,0.5548025898353199
zhang_yi2020,0.09097211737581061
zhangjie11ee,0.7382466882866193
zhangzhaoju,1.87077524051171
zhao_ting_v,0.30820916514713204
zhaojichen,0.06164183302942641
zhaosida_hw,0.14227787429118505
zhaozhenlong,0.8502752503859219
zheng_pengfei,0.4040719489381197
zhengjun10,1.179298216393684
zhengyuanhua,0.6219159251341034
zhi-qing-wei,3.131874087946039
zhou-yunfeier,2.108122421764317
zhou_hongfei,0.1516864065698229
zhoushan33,0.2655615403500379
zhujingxuan,0.9436217036737281
zhunaipan,0.9167816572600431
ziruiwu,0.5102503044957559
zjun3021,0.32720337337946426
zoloft,0.4931346642354112
zou-tianyu,1.1898071787263294
zp142701,0.331140403388745
zpac,0.12328366605885283
zuochuanyong,0.4956249021681104
zyli2020,0.06164183302942641
